 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,IntDen,Median,%Area,RawIntDen,Slice,AR,Round,Solidity
1,m44i-4.bmp,835,255,255,255,361.325,22.637,361.325,22.637,125.539,341,6,40,33,0.666,212925,255,100,212925,1,1.699,0.588,0.862
2,m44i-4.bmp,277,255,255,255,173.583,20.374,173.583,20.374,62.770,165,10,18,21,0.883,70635,255,100,70635,1,1.384,0.723,0.928
3,m44i-4.bmp,72,255,255,255,404.833,23.375,404.833,23.375,34.042,399,19,13,8,0.781,18360,255,100,18360,1,1.629,0.614,0.878
4,m44i-4.bmp,54,255,255,255,459.944,39.796,459.944,39.796,27.213,456,35,8,10,0.916,13770,255,100,13770,1,1.194,0.838,0.871
5,m44i-4.bmp,323,255,255,255,234.132,57.370,234.132,57.370,81.154,225,43,17,28,0.616,82365,255,100,82365,1,1.740,0.575,0.827
6,m44i-4.bmp,57,255,255,255,277.061,52.289,277.061,52.289,36.284,273,48,9,11,0.544,14535,255,100,14535,1,1.432,0.698,0.735
7,m44i-4.bmp,44,255,255,255,452.682,58.205,452.682,58.205,23.556,449,54,7,8,0.996,11220,255,100,11220,1,1.371,0.729,0.907
8,m44i-4.bmp,17,255,255,255,420.265,80.794,420.265,80.794,14.728,418,78,5,5,0.985,4335,255,100,4335,1,1.138,0.878,0.829
9,m44i-4.bmp,1,255,255,255,424.500,79.500,424.500,79.500,2.828,424,79,1,1,1.000,255,255,100,255,1,1.000,1.000,1.000
10,m44i-4.bmp,449,255,255,255,345.738,94.945,345.738,94.945,99.983,333,80,25,30,0.564,114495,255,100,114495,1,1.882,0.531,0.822
11,m44i-4.bmp,160,255,255,255,145.181,97.181,145.181,97.181,50.870,137,89,15,15,0.777,40800,255,100,40800,1,1.575,0.635,0.879
12,m44i-4.bmp,3143,255,255,255,467.167,131.355,467.167,131.355,342.233,429,93,77,84,0.337,801465,255,100,801465,1,1.566,0.638,0.709
13,m44i-4.bmp,68,255,255,255,226.838,103.309,226.838,103.309,32.627,221,98,11,10,0.803,17340,255,100,17340,1,1.215,0.823,0.855
14,m44i-4.bmp,124,255,255,255,23.516,119.815,23.516,119.815,41.698,16,114,15,12,0.896,31620,255,100,31620,1,1.337,0.748,0.889
15,m44i-4.bmp,7,255,255,255,368.500,122.786,368.500,122.786,9.071,367,121,3,3,1.000,1785,255,100,1785,1,1.069,0.936,0.875
16,m44i-4.bmp,6,255,255,255,143.500,128.000,143.500,128.000,7.657,142,127,3,2,1.000,1530,255,100,1530,1,1.500,0.667,1.000
17,m44i-4.bmp,30,255,255,255,283.767,131.800,283.767,131.800,19.556,281,128,6,7,0.986,7650,255,100,7650,1,1.127,0.887,0.870
18,m44i-4.bmp,220,255,255,255,133.268,142.455,133.268,142.455,57.355,125,133,16,20,0.840,56100,255,100,56100,1,1.330,0.752,0.913
19,m44i-4.bmp,45,255,255,255,466.589,144.678,466.589,144.678,24.142,463,141,7,8,0.970,11475,255,100,11475,1,1.243,0.804,0.918
20,m44i-4.bmp,79,255,255,255,412.728,147.095,412.728,147.095,31.799,408,142,10,10,0.982,20145,255,100,20145,1,1.047,0.955,0.924
21,m44i-4.bmp,23,255,255,255,302.022,145.326,302.022,145.326,17.899,299,143,6,5,0.902,5865,255,100,5865,1,1.446,0.692,0.852
